ts,current_bytes,peak_bytes
1781156170,2318712832,2566107136
1781156171,2318999552,2566107136
1781156172,2319015936,2566107136
1781156173,2319781888,2566107136
1781156174,2318737408,2566107136
1781156175,2319093760,2566107136
1781156176,2319036416,2566107136
1781156177,2318966784,2566107136
1781156178,2318987264,2566107136
1781156179,2319245312,2566107136
1781156180,2319507456,2566107136
1781156181,2318774272,2566107136
1781156182,2318934016,2566107136
1781156183,2318811136,2566107136
1781156184,2318811136,2566107136
1781156185,2318794752,2566107136
1781156186,2318643200,2566107136
1781156187,2318544896,2566107136
1781156188,2318610432,2566107136
1781156189,2318823424,2566107136
1781156190,2318655488,2566107136
1781156191,2318643200,2566107136
1781156192,2319486976,2566107136
1781156193,2319163392,2566107136
1781156194,2318712832,2566107136
1781156195,2318655488,2566107136
1781156196,2319151104,2566107136
1781156197,2319020032,2566107136
1781156198,2318966784,2566107136
1781156199,2318700544,2566107136
1781156200,2318942208,2566107136
1781156201,2319060992,2566107136
1781156202,2318708736,2566107136
1781156203,2318704640,2566107136
1781156204,2319269888,2566107136
1781156205,2318950400,2566107136
1781156206,2318708736,2566107136
1781156207,2318774272,2566107136
1781156208,2318573568,2566107136
1781156209,2318606336,2566107136
1781156210,2319142912,2566107136
1781156211,2318831616,2566107136
1781156212,2318585856,2566107136
1781156213,2319441920,2566107136
1781156215,2319736832,2566107136
